KEY,COLUMN_2,COLUMN_3
ADD_TO_BLUEPRINT,Add {0} to {1},Dodaj {0} do {1}
BY_AUTHOR,By {0},{0}
AVAILABLE,Available,Dostępne
BLUEPRINT_FULL,{1} already has enough of {0},{1} ma już wystarczająco: {0}
BLUEPRINT_RESEARCH_TAB,Research,Badania
BLUEPRINT_SHOP,Shop,Sklep
BLUEPRINT_UNLOCKED,New Blueprint Unlocked!,Odkryto nowy schemat!
BOOKMARK_NOT_FOUND,There is no {0} here,Brakuje tutaj: {0}
BOOKMARK_TITLE_WITH_LIQUID,{0} ({1}),{0} ({1})
BUILD,Build,Buduj
BUILT,Built,Zbudowano
BUY_TO_CONTINUE,Congratulations on surviving for {0} days!,Gratulacje przeżycia {0} dni!
CANCEL,Cancel,Anuluj
CANNOT_AFFORD,Not enough {0} to buy this...,Nie stać cię na ten zakup. Brakuje: {0}
CANNOT_EQUIP_MORE,Cannot equip more than {0} {1},Nie można założyć więcej niż {0}: {1}
CANNOT_EQUIP_PINS,Pins cannot be equipped!,Przypinki nie służą do zakładania!
CANNOT_INSPECT,Take item out of container to inspect.,"Aby zbadać przedmiot, najpierw wyjmij go z pojemnika."
CANNOT_MAKE_BLUEPRINT,{0} cannot be made here...,Nie można tutaj zrobić: {0}
CHARACTER,Character,Postać
CHARACTER_CREATOR,Create New Character,Stwórz nową postać
CLEAR_CARD_FILTERS,Clear Filters,Wyczyść filtry
CONFIRM,Confirm,Potwierdź
CONFIRM_RESEARCH_SWITCH,Currently researching {0}.\nSwitch research to {1}?\n(You will keep research progress on {0}),Obecnie badasz: {0}\nZmienić cel badań na: {1}?\n(Zachowasz postęp badań nad: {0})
COOKING_TIME_TEXT,Ready in {0},Gotowe za {0}
CURRENT_STATUS,Current Status,Bieżący stan
CUSTOM_CHARACTERS,Custom Characters,Postacie niestandardowe
CUSTOM_PORTRAIT_COUNT,Default portrait resolution is 344x446\n{0}/{1} portraits saved,Domyślna rozdzielczość portretów to 344x446\n Zapisano {0}/{1} portretów
DAMAGES,Damages,Uszkodzenia
DAY_COUNTER,Day {0},Dzień {0}
FORMAT_DAYS,0D,0d
DAYS_SURVIVED,I survived for {0} days.,Udało się przeżyć {0} dni.
DEFAULT,Default,Domyślne
DEFAULT_CHARACTER,Default Character,Domyślna postać
COOKING_SLOT,DRAG ITEMS HERE TO COOK,PRZECIĄGNIJ TUTAJ PRZEDMIOTY DO UGOTOWANIA
EMPTY_RECIPE_SLOT,COME BACK LATER,WRÓĆ PÓŹNIEJ
FUEL_FULL,{0} is full,Napełniono: {0}
FUEL_ZERO,{0} ran out of fuel,Brak paliwa: {0}
INVENTORY_SLOT,DRAG ITEMS HERE,PRZECIĄGNIJ TUTAJ PRZEDMIOTY
PROGRESS_FULL,{0} is complete,Zakończono: {0}
PROGRESS_ZERO,{0} ran out of uses,Wyczerpano: {0}
SPOILAGE_FULL,{0} is good as new,Jak nowe: {0}
SPOILAGE_ZERO,{0} spoiled,Zepsute: {0}
USAGE_FULL,{0} is good as new,Jak nowe: {0}
USAGE_ZERO,{0} broke,Zepsute: {0}
DEMO_OVER,END OF FIRST DAYS,KONIEC WERSJI DEMO (PIERWSZE DNI)
DIFFICULTY_SCORE,Difficulty: {0}pts,Poziom trudności: {0}pkt
DISCARD_ACTION_DESC,Permanently get rid of this object.,Permanentnie pozbądź się tego obiektu.
DISCARD_ACTION_TITLE,Discard,Odrzuć
DISMANTLE_DESC,Collect all items and revert to previous building stage.,Zbierz wszystkie przedmioty i wróć do poprzedniego etapu budowy.
DISMANTLE_DESC_FIRST_STEP,Collect all items and destroy building.,Zbierz wszystkie przedmioty i zniszcz budynek.
DURATION,Duration,Czas trwania
EMPTY,Empty,Puste
NO_CHARACTER_BIO,You don't remember anything before the island...,Nie pamiętasz niczego sprzed trafienia na wyspę...
EQUIP_CARD,Equip {0},Załóż: {0}
EQUIPMENT,Equipment,Ekwipunek
EVENT_TITLE,EVENT,WYDARZENIE
EXPLORATION,Exploration,Eksploracja
EXPLORED,Explored,Zwiedzono
EXPLORING,Exploring,Eksplorowanie
FILL_WITH_LIQUID,Fill {0} with {1},Napełnij {0}: {1}
FINISHED_COOKING,{0} finished cooking {1},{0} - koniec gotowania: {1}
FINISHED_COOKING_EMPTY,{0} is ready,{0} jest gotowe
GAME_OVER,GAME OVER,KONIEC GRY
PLACEHOLDER_DISCLAIMER,{0}\n\n<b>-The text above is a placeholder-</b>,{0}\n\n<b>-Powyższy tekst jest tymczasowy-</b>
HOLD_FOR_ACTION,Hold for action...,"Przytrzymaj, aby wykonać akcję..."
HOLD,Hold,Przytrzymaj
HOPE_GOOD_TIME,We hope you had a good time!,"Mamy nadzieję, że gra sprawiła Ci przyjemność!"
FORMAT_HOURS,0h,0h
HOVER,Hover,Najedź
IMPORT_PORTRAIT,Import Custom Portrait,Importuj własny portret
IMPOSSIBLE_ACTION,I can't do this now...,Nie mogę tego teraz zrobić...
IMPROVEMENT_DESC,{0} on a card for info,"Na karcie - {0}, aby uzyskać informacje"
IMPROVEMENTS,Improvements,Ulepszenia
INSPECTION_TITLE,DETAILS,SZCZEGÓŁY
INVENTORY_CANNOT_CARRY,{0} doesn't have room for this...,{0} nie ma na to miejsca...
INVENTORY_FULL,inventory full,ekwipunek jest pełny
IS_NOT_EQUIPMENT,{0} is not equippable,Nie da się wyposażyć: {0}
JOURNAL_SUBTITLE_NAME,The {0} tale of {2}\n({1}),{0} opowieść o {2}\n({1})
LIQUID_AUTO_FILLING,Filling with {0},Napełnianie {0}
LIQUID_CONTAINER_EMPTY,{0} is empty,{0} jest pusty
LIQUID_TRANSFER,Transfer Liquid,Przelej płyn
LOAD,Load,Ładuj
LOADING,LOADING,ŁADOWANIE
FORMAT_MINUTES,0min,0min
MISSING_CARD_INHAND,Missing {0} in hand,Brakuje w ręce: {0}
MISSING_CARD_ONBOARD,Missing {0},Brakuje: {0}
MOVE_ITEM_TO_LOCATION,Move {0} to {1},Przenieś: {0} do {1}
NEW_BLUEPRINT,New Blueprint,Nowy schemat
NEW_DAMAGE,Something got damaged!,Coś zostało uszkodzone!
NEW_IMPROVEMENT,New Improvement,Nowe usprawnienie
NO_DAMAGES,No Damages To Repair,Brak uszkodzeń do naprawy
NO_IMPROVEMENTS,No Improvements Unlocked,Brak odblokowanych usprawnień
NONE,,Brak
OFFICIAL_CHARACTERS,Premade Characters,Gotowe postacie
PAUSED,Paused,Zatrzymano
PLAYER_CANNOT_CARRY,This is more than I can carry...,To więcej niż mogę unieść...
RESEARCH,Research,Badania
RESEARCHING,Researching...,Badanie...
RESUME,Resume,Wznów
SAFETY_MODE,Safety Mode,Tryb bezpieczny
SAVE,Save,Zapisz
SAVE_NEW_GAME,Save New Game,Zapisz nową grę
SELECT_CHARACTER,SELECT CHARACTER,WYBIERZ POSTAĆ
SELECTED_CARDS,Selected Cards,Wybrane karty
SLOT,Slot,Zapis
START_BUILDING,Start the construction of ,Rozpocznij budowę
STAT_INFLUENCES,Influenced by,Pod wpływem
INVENTORY_STORE,Store inside,Przechowaj wewnątrz
SUCCESS_CHANCE,Success,Sukces
SURVIVAL_BONUS,Survival bonus,Premia za przetrwanie
TIME_IS_BETWEEN,It's between {0} and {1},Jest między {0} a {1}
TIP,Tip,Porada
TRANSFER_TO_LOCATION,Move Item,Przenieś przedmiot
TRASH_CONFIRM,Throw {0} away?,Wyrzucić: {0}?
DEMO_UNAVAILABLE,Full Game Only,Tylko w pełnej wersji
UNKNOWN_AUTHOR,Unknown Author,Nieznany autor
TO_UNLOCK,To unlock: ,Aby odblokować:
VICTORY,I SURVIVED!,UDAŁO SIĘ PRZETRWAĆ!
VICTORY_BONUS,Victory Bonus,Premia za zwycięstwo
WOUNDS,Wounds,Rany
HELP,Help,Pomoc
OBJECTIVE_COMPLETE,OBJECTIVE COMPLETE,ZADANIE UKOŃCZONE
FONT_STYLE,Font Style,Styl czcionki
AMBIENCE,Ambience,Dźwięki tła
SFX,Sound Effects,Efekty dźwiękowe
CUSTOMIZE_UI,Customize UI (Coming Soon),Dostosuj interfejs użytkownika (Wkrótce)
INTERFACE,INTERFACE,INTERFEJS
VOLUME,VOLUME,GŁOŚNOŚĆ
MISC,MISC.,RÓŻNE
RESET_GAME,Reset Game,Zresetuj grę
REVERT_OPTIONS,Revert to Default Options,Przywróć domyślne ustawienia
VISUAL_EFFECTS,Visual effects,Efekty graficzne
VSYNC,VSync,VSync
NO,No,Nie
YES,Yes,Tak
FULLSCREEN,Fullscreen,Pełny ekran
DISPLAY,DISPLAY,WYŚWIETLACZ
SCROLL_SENSITIVITY,Scroll Sensitivity,Czułość przewijania
APPLY,Apply,Zastosuj
RESOLUTION,Resolution,Rozdzielczość
RESET_GAME_CONFIRM,"This will delete all progress, custom characters and unlocked perks, and reset the options.\nReset the game?","Spowoduje to usunięcie wszystkich postępów, własnych postaci, odblokowanych modyfikatorów oraz zresetowanie opcji.\nZresetować grę?"
OPTIONS_MENU_TITLE,OPTIONS,OPCJE
CONFIRM_DELETE_SLOT,Delete this slot?,Usunąć ten zapis?
GAMEMODE_LIST,GAMEMODES,TRYBY GRY
EASY_MODE_TITLE,EASY MODE,TRYB ŁATWY
CARD_INSPECTION_TITLE,DETAILS,SZCZEGÓŁY
PURCHASE,Purchase,Odblokuj
MIDJOURNEY,Portraits created using MidJourney,Portrety stworzone przy użyciu MidJourney
SAVE_CHARACTER,Save Character,Zapisz postać
