﻿ACTION_HAPPENING,I can't do two things at once...,Nie mogę robić dwóch rzeczy jednocześnie...
ADD_TO_BLUEPRINT,Add {0} to {1},Dodaj {0} do {1}
BY_AUTHOR,By {0},{0}
AVAILABLE,Available,Dostępne
BLUEPRINT_FULL,{1} already has enough of {0},{1} ma już wystarczająco: {0}
BLUEPRINT_RESEARCH_TAB,Research,Badania
BLUEPRINT_SHOP,Shop,Sklep
BLUEPRINT_UNLOCKED,New Blueprint Unlocked!,Odkryto nowy schemat!
BOOKMARK_NOT_FOUND,There is no {0} here,Brakuje tutaj: {0}
BOOKMARK_TITLE_WITH_LIQUID,{0} ({1}),{0} ({1})
BUILD,Build,Buduj
BUILT,Built,Zbudowano
BUY_TO_CONTINUE,Congratulations on surviving for {0} days!,Gratulacje przeżycia {0} dni!
CANCEL,Cancel,Anuluj
CANNOT_AFFORD,Not enough {0} to buy this...,Nie stać cię na ten zakup. Brakuje: {0}
CANNOT_EQUIP_MORE,Cannot equip more than {0} {1},Nie można założyć więcej niż {0}: {1}
CANNOT_EQUIP_PINS,Pins cannot be equipped!,Przypinki nie służą do zakładania!
CANNOT_INSPECT,Take item out of container to inspect.,"Aby zbadać przedmiot, najpierw wyjmij go z pojemnika."
CANNOT_MAKE_BLUEPRINT,{0} cannot be made here...,Nie można tutaj zrobić: {0}
CHARACTER,Character,Postać
CHARACTER_CREATOR,Create New Character,Stwórz nową postać
CLEAR_CARD_FILTERS,Clear Filters,Wyczyść filtry
CONFIRM,Confirm,Potwierdź
CONFIRM_RESEARCH_SWITCH,Currently researching {0}.\nSwitch research to {1}?\n(You will keep research progress on {0}),Obecnie badasz: {0}\nZmienić cel badań na: {1}?\n(Zachowasz postęp badań nad: {0})
COOKING_TIME_TEXT,Ready in {0},Gotowe za {0}
CURRENT_STATUS,Current Status,Bieżący stan
CUSTOM_CHARACTERS,Custom Characters,Postacie niestandardowe
CUSTOM_PORTRAIT_COUNT,Default portrait resolution is 344x446\n{0}/{1} portraits saved,Domyślna rozdzielczość portretów to 344x446\n Zapisano {0}/{1} portretów
DAMAGES,Damages,Uszkodzenia
DAY_COUNTER,Day {0},Dzień {0}
FORMAT_DAYS,0D,0d
DAYS_SURVIVED,I survived for {0} days.,Udało się przeżyć {0} dni.
DEFAULT,Default,Domyślne
DEFAULT_CHARACTER,Default Character,Domyślna postać
